id,name,district_id,taluk_id,latitude,longitude,geom
1,1 Town Police Station,1,,16.738654,77.990093,POINT(77.990093 16.738654)
2,APSP- 2 Betallion,1,,15.826307,78.021972,POINT(78.021972 15.826307)
3,Additional Director General of Police,1,,12.977923,77.601028,POINT(77.601028 12.977923)
4,Adugodi Police Station,1,,12.939227,77.610171,POINT(77.610171 12.939227)
5,Aimangala Police Station,1,,14.094595,76.534377,POINT(76.534377 14.094595)
6,Ajara Police Station,1,,16.120341,74.209722,POINT(74.209722 16.120341)
7,Akluj Polic Station,1,,17.889342,75.023087,POINT(75.023087 17.889342)
8,Akluj Police Station,1,,17.891438,75.018467,POINT(75.018467 17.891438)
9,Akluj Police Station,1,,17.882992,75.018096,POINT(75.018096 17.882992)
10,Alagapuram Police station,1,,11.676995,78.142262,POINT(78.142262 11.676995)
11,Amasebail Police Sration,1,,13.603111,74.94862,POINT(74.94862 13.603111)
12,Ammapet B 6  Police Station,1,,11.65303,78.161785,POINT(78.161785 11.65303)
13,Ammapet B 6  Police Station,1,,11.659002,78.18161,POINT(78.18161 11.659002)
14,Amrutahalli Police Station,1,,13.05693,77.59853,POINT(77.59853 13.05693)
15,Anandnagar Police Station,1,,18.2016,76.041969,POINT(76.041969 18.2016)
16,Ananthapur 3 Town Police Station,1,,14.694408,77.598128,POINT(77.598128 14.694408)
17,Annadanapatti B 4 Police Station,1,,11.642403,78.140478,POINT(78.140478 11.642403)
18,Annadhanapatti Police Station,1,,11.642212,78.145413,POINT(78.145413 11.642212)
19,Anti corruption bureau,1,,13.015648,76.105704,POINT(76.105704 13.015648)
20,Armed Reserve Police,1,,11.667886,78.160701,POINT(78.160701 11.667886)
21,Arsikere Rural Police Station,1,,13.31257,76.256867,POINT(76.256867 13.31257)
22,Ashok Nagar Police Station,1,,12.971632,77.610204,POINT(77.610204 12.971632)
23,Ashokpuram Police Station,1,,12.289232,76.63136,POINT(76.63136 12.289232)
24,Ashtavinayak Police Station,1,,18.394021,76.567605,POINT(76.567605 18.394021)
25,Athani Police Station,1,,16.726722,75.060221,POINT(75.060221 16.726722)
26,Attayampati C 1 Police Station,1,,11.531353,78.050867,POINT(78.050867 11.531353)
27,Avenue Road Police Chowky,1,,12.968018,77.578704,POINT(77.578704 12.968018)
28,Azhikkal Coastal Police Station,1,,11.943317,75.311292,POINT(75.311292 11.943317)
29,BSK 3rd stage Police Station,1,,12.923555,77.553333,POINT(77.553333 12.923555)
30,Badavane Police Station,1,,14.464896,75.919979,POINT(75.919979 14.464896)
31,Bagaluru Police Station,1,,13.140103,77.670434,POINT(77.670434 13.140103)
32,Baiyyapannahalli Police Station,1,,12.991735,77.657343,POINT(77.657343 12.991735)
33,Bambavade Police Station,1,,16.871149,74.041624,POINT(74.041624 16.871149)
34,Banakal Police Station,1,,13.137457,75.554538,POINT(75.554538 13.137457)
35,Banashankari Police Station,1,,12.922912,77.565005,POINT(77.565005 12.922912)
36,Banaswadi Police Station,1,,13.019673,77.640156,POINT(77.640156 13.019673)
37,Bankapura Police Station,1,,14.914951,75.27079,POINT(75.27079 14.914951)
38,Basavangudi Police Station,1,,12.942187,77.574333,POINT(77.574333 12.942187)
39,Basaveshwaranagar Police Station,1,,12.985417,77.542602,POINT(77.542602 12.985417)
40,Bedakam Police Station,1,,12.468235,75.184021,POINT(75.184021 12.468235)
41,Begum Peth Police Station,1,,17.672316,75.908853,POINT(75.908853 17.672316)
42,Budhwar Peth Police Station,1,,17.682238,75.900041,POINT(75.900041 17.682238)
43,Burud Galli Police Chowki,1,,16.863006,74.564368,POINT(74.564368 16.863006)
44,Byadarahalli Police Station,1,,12.986768,77.491253,POINT(77.491253 12.986768)
45,Byndoor Police Station.,1,,13.867303,74.626801,POINT(74.626801 13.867303)
46,CEN Police Station,1,,13.134436,78.171589,POINT(78.171589 13.134436)
47,CID Office,1,,12.981421,77.585536,POINT(77.585536 12.981421)
48,"CPI Office, Byndoor",1,,13.867275,74.626441,POINT(74.626441 13.867275)
49,Canacona Police Station,1,,15.006278,74.058091,POINT(74.058091 15.006278)
50,Central Police Station,1,,12.96013,77.572062,POINT(77.572062 12.96013)
51,Chamarajapet Police Station,1,,12.960477,77.56432,POINT(77.56432 12.960477)
52,Chandra Layout Police Station,1,,12.958931,77.528382,POINT(77.528382 12.958931)
53,Check Post,1,,12.476988,74.994015,POINT(74.994015 12.476988)
54,Chikkapete Police Station,1,,12.970701,77.573639,POINT(77.573639 12.970701)
55,"Chombala Police Station , Kunjippalli",1,,11.678468,75.552394,POINT(75.552394 11.678468)
56,Circle Police Inspector Office,1,,16.746461,77.13163,POINT(77.13163 16.746461)
57,City Armed Reserve North,1,,13.075302,77.635601,POINT(77.635601 13.075302)
58,City Police Station,1,,12.305313,76.290409,POINT(76.290409 12.305313)
59,City Police Station,1,,13.637085,74.688914,POINT(74.688914 13.637085)
60,City Police Station,1,,12.940878,75.782302,POINT(75.782302 12.940878)
61,"Coast Police Station,Azhithala",1,,11.571089,75.587983,POINT(75.587983 11.571089)
62,Coastal Police Station,1,,12.203915,75.12128,POINT(75.12128 12.203915)
63,Commisioner of Police,1,,12.984479,77.59464,POINT(77.59464 12.984479)
64,Cottenpet Police Station,1,,12.968092,77.570094,POINT(77.570094 12.968092)
65,"Crime Branch CID Office, kambalakkad",1,,11.676945,76.074699,POINT(76.074699 11.676945)
66,Crime Police Station,1,,13.009268,76.108388,POINT(76.108388 13.009268)
67,Cubbon Park Police Station,1,,12.97624,77.598346,POINT(77.598346 12.97624)
68,Cubbon Park Police Station,1,,12.976218,77.598231,POINT(77.598231 12.976218)
69,Cubbon Park Traffic Police Station,1,,12.976005,77.598112,POINT(77.598112 12.976005)
70,Cuncolim Police Station,1,,15.168607,74.010341,POINT(74.010341 15.168607)
71,Curchorem Police Station,1,,15.260969,74.107274,POINT(74.107274 15.260969)
72,Cyber Crime Police Station,1,,12.984089,77.594723,POINT(77.594723 12.984089)
73,Cyber Crime Police Station,1,,12.306913,76.665455,POINT(76.665455 12.306913)
74,Cybercrime Police Station,1,,12.990375,77.592951,POINT(77.592951 12.990375)
75,DJ Halli Police Station,1,,13.011415,77.613093,POINT(77.613093 13.011415)
76,DRP Parade Grounds,1,,15.148426,76.934125,POINT(76.934125 15.148426)
77,Denkanikottai Police Station,1,,12.520897,77.790337,POINT(77.790337 12.520897)
78,Department of Prisons & Correctional Services,1,,12.980265,77.581507,POINT(77.581507 12.980265)
79,"Deputy superintendent of Police, Hampi",1,,15.30928,76.475971,POINT(76.475971 15.30928)
80,Devaraja Police Station,1,,12.314282,76.65678,POINT(76.65678 12.314282)
81,Dharoor police station,1,,16.317208,77.69882,POINT(77.69882 16.317208)
82,District Police Camp Office,1,,11.549703,75.601191,POINT(75.601191 11.549703)
83,District Police Head Quaters,1,,16.749331,77.989485,POINT(77.989485 16.749331)
84,District Police Office Wayand,1,,11.629615,76.085831,POINT(76.085831 11.629615)
85,Dobbespet Police Station,1,,13.230746,77.242546,POINT(77.242546 13.230746)
86,DySP Office,1,,15.032034,75.921756,POINT(75.921756 15.032034)
87,DySP Office,1,,11.79515,76.004199,POINT(76.004199 11.79515)
88,Gadhinglaj Police Station,1,,16.223493,74.347831,POINT(74.347831 16.223493)
89,Gandhi Chowk Police Station,1,,16.841213,74.637259,POINT(74.637259 16.841213)
90,Gandhi Chowk Police station,1,,18.399925,76.578086,POINT(76.578086 18.399925)
91,Gandhi Nagar Police Station,1,,15.145257,76.930783,POINT(76.930783 15.145257)
92,Gandhinagara Police Station,1,,13.336942,77.09697,POINT(77.09697 13.336942)
93,Gangammagudi Police Station,1,,13.072097,77.530192,POINT(77.530192 13.072097)
94,Gangolli Police Station,1,,13.686743,74.660641,POINT(74.660641 13.686743)
95,Gauribidanur Rural Police Station,1,,13.601467,77.508348,POINT(77.508348 13.601467)
96,Gauribidanur Town Police Station,1,,13.608285,77.51993,POINT(77.51993 13.608285)
97,Girinagar Police Station,1,,12.935917,77.543968,POINT(77.543968 12.935917)
98,Gokul Road Police Station,1,,15.350875,75.114308,POINT(75.114308 15.350875)
99,Government Railway Police Station,1,,11.67122,78.113029,POINT(78.113029 11.67122)
100,Gubbi Police Station,1,,13.309456,76.948541,POINT(76.948541 13.309456)
101,Guruwar Peth Polic Chowki,1,,16.821265,74.648595,POINT(74.648595 16.821265)
102,HAL Police Station,1,,12.955069,77.682808,POINT(77.682808 12.955069)
103,HAL Traffic Police Station,1,,12.958801,77.667509,POINT(77.667509 12.958801)
104,HSR Police station,1,,12.920177,77.651303,POINT(77.651303 12.920177)
105,HUDCO Police Station,1,,12.725805,77.857972,POINT(77.857972 12.725805)
106,Halasuru Police Station,1,,12.974799,77.625265,POINT(77.625265 12.974799)
107,Hampi Police Station,1,,15.334194,76.465809,POINT(76.465809 15.334194)
108,Hampi Traffic Police,1,,15.334042,76.466621,POINT(76.466621 15.334042)
109,Hanagalla Police Station,1,,14.771571,75.125273,POINT(75.125273 14.771571)
110,Hariharapura Police Station,1,,13.521166,75.300211,POINT(75.300211 13.521166)
111,Harohalli Police station,1,,12.680494,77.469343,POINT(77.469343 12.680494)
112,Hastampatti B 7 Police Station,1,,11.677809,78.16458,POINT(78.16458 11.677809)
113,Hebbagodi Police Station,1,,12.826365,77.682085,POINT(77.682085 12.826365)
114,Hebbal Police Station,1,,13.038619,77.589624,POINT(77.589624 13.038619)
115,Hebbal Traffic Police Station,1,,13.042419,77.589307,POINT(77.589307 13.042419)
116,Hebri Police Station,1,,13.458739,74.989894,POINT(74.989894 13.458739)
117,Help Booth,1,,11.618796,78.144628,POINT(78.144628 11.618796)
118,Hennur Police Station,1,,13.02377,77.645771,POINT(77.645771 13.02377)
119,Hennur Traffic Police Station,1,,13.070633,77.636367,POINT(77.636367 13.070633)
120,High Grounds Police Station,1,,12.990059,77.592724,POINT(77.592724 12.990059)
121,High Grounds Traffic Police Station,1,,12.98489,77.582891,POINT(77.582891 12.98489)
122,High Grounds Traffic Police Station,1,,12.984773,77.582924,POINT(77.582924 12.984773)
123,Highway Police,1,,18.227389,74.816279,POINT(74.816279 18.227389)
124,Highway Police Station,1,,16.660754,74.267646,POINT(74.267646 16.660754)
125,Hosangadi Check Post,1,,13.707203,74.961789,POINT(74.961789 13.707203)
126,Hosur Town Police Station,1,,12.726755,77.827283,POINT(77.827283 12.726755)
127,Hukkeri Police Station,1,,16.237578,74.605044,POINT(74.605044 16.237578)
128,Hulimavu Police Station,1,,12.87667,77.600042,POINT(77.600042 12.87667)
129,Hulimavu Traffic Police Station,1,,12.856575,77.588978,POINT(77.588978 12.856575)
130,Humnabad Police Station,1,,17.772091,77.123538,POINT(77.123538 17.772091)
131,Hutti Police Station,1,,16.194643,76.655595,POINT(76.655595 16.194643)
132,I.T.I Police Station,1,,17.643673,75.898633,POINT(75.898633 17.643673)
133,IG Office,1,,11.873157,75.370527,POINT(75.370527 11.873157)
134,II Town police station,1,,15.622047,77.275897,POINT(77.275897 15.622047)
135,Indira Nagar Police Station,1,,12.983019,77.638411,POINT(77.638411 12.983019)
136,Indiranagar Traffic Police Station,1,,12.967409,77.655901,POINT(77.655901 12.967409)
137,Indiranagar Traffic Police Station,1,,12.978243,77.640427,POINT(77.640427 12.978243)
138,Inter State Border Check Post,1,,17.448104,75.849553,POINT(75.849553 17.448104)
139,Irritty Police Station,1,,11.995342,75.679849,POINT(75.679849 11.995342)
140,Islampur Police Station,1,,17.051735,74.269906,POINT(74.269906 17.051735)
141,J J R Nagar Police station,1,,12.964359,77.555159,POINT(77.555159 12.964359)
142,JC Nagara Police Station,1,,13.005717,77.593412,POINT(77.593412 13.005717)
143,JP Nagar Police Station,1,,12.911851,77.587541,POINT(77.587541 12.911851)
144,Jalahalli Police Station,1,,13.048648,77.549567,POINT(77.549567 13.048648)
145,Jat Police Station,1,,17.050249,75.208504,POINT(75.208504 17.050249)
146,Jayalakshamipuram Police Station,1,,12.323573,76.612874,POINT(76.612874 12.323573)
147,Jayanagar 4th Block Police Station,1,,12.928565,77.581366,POINT(77.581366 12.928565)
148,Jeevan Bhima Nagar Police Station,1,,12.967771,77.655694,POINT(77.655694 12.967771)
149,Jejuri Police Line,1,,18.278302,74.16355,POINT(74.16355 18.278302)
150,Jejuri Police Station,1,,18.277555,74.163087,POINT(74.163087 18.277555)
151,Juna Rajawada Police Station,1,,16.694502,74.223529,POINT(74.223529 16.694502)
152,K R Police station,1,,12.297784,76.650543,POINT(76.650543 12.297784)
153,K.S.R.P. 2nd Battalion,1,,15.792122,74.467502,POINT(74.467502 15.792122)
154,Kadri Police Station,1,,12.890283,74.852674,POINT(74.852674 12.890283)
155,Kadugodi Police Station,1,,12.995384,77.757468,POINT(77.757468 12.995384)
156,Kadugondanahalli Police Station,1,,13.019412,77.619238,POINT(77.619238 13.019412)
157,Kadugondanahalli Traffic Police Station,1,,13.019814,77.619254,POINT(77.619254 13.019814)
158,Kagal Police Station,1,,16.575969,74.314575,POINT(74.314575 16.575969)
159,Kaggalipura Police Station,1,,12.80143,77.508513,POINT(77.508513 12.80143)
160,Kamalapura Police Station,1,,15.30589,76.473718,POINT(76.473718 15.30589)
161,Kannankurichi B 8 Police Station,1,,11.696746,78.176976,POINT(78.176976 11.696746)
162,Kannur Police Quarters,1,,11.878162,75.367646,POINT(75.367646 11.878162)
163,Karatagi Police Station,1,,15.600629,76.658014,POINT(76.658014 15.600629)
164,Karnataka State Reserve Police,1,,12.969131,77.616865,POINT(77.616865 12.969131)
165,Kasargod Traffic Police Station,1,,12.508519,74.992378,POINT(74.992378 12.508519)
166,Kengeri Police Station,1,,12.910491,77.481543,POINT(77.481543 12.910491)
167,Kitchipalayam B 5 Police Station,1,,11.647253,78.170258,POINT(78.170258 11.647253)
168,Kodangal police station,1,,17.107999,77.626128,POINT(77.626128 17.107999)
169,Kodigehalli Police Station,1,,13.062197,77.574109,POINT(77.574109 13.062197)
170,Konanakunte Police Station,1,,12.883835,77.566363,POINT(77.566363 12.883835)
171,Konandur Police Station,1,,13.810674,75.247492,POINT(75.247492 13.810674)
172,Koramangala Police Station,1,,12.941098,77.621411,POINT(77.621411 12.941098)
173,Kothakota Police Station,1,,16.363335,77.945297,POINT(77.945297 16.363335)
174,Kothanur Police Station,1,,13.055514,77.646326,POINT(77.646326 13.055514)
175,Krishna Rajendra Market Police Station,1,,12.96494,77.576188,POINT(77.576188 12.96494)
176,Krishnarajasagara Police Station,1,,12.406909,76.572806,POINT(76.572806 12.406909)
177,Kumarapattanam ps,1,,14.521205,75.786469,POINT(75.786469 14.521205)
178,Kumaraswamy Layout Police Station,1,,12.905094,77.562955,POINT(77.562955 12.905094)
179,Kumbalagodu Police Station,1,,12.884217,77.449857,POINT(77.449857 12.884217)
180,Kundapura Rural PS,1,,13.574157,74.772648,POINT(74.772648 13.574157)
181,Kurnool Rural Office Circle,1,,15.816552,78.04033,POINT(78.04033 15.816552)
182,Kutta Police Station,1,,11.968763,76.050786,POINT(76.050786 11.968763)
183,Kuvempunagara Police Station,1,,12.2863,76.619216,POINT(76.619216 12.2863)
184,Latur Gramin Police Station,1,,18.398387,76.602248,POINT(76.602248 18.398387)
185,Laxmipuri Police Station,1,,16.698725,74.227632,POINT(74.227632 16.698725)
186,Lokayuktha Police,1,,16.747668,77.128538,POINT(77.128538 16.747668)
187,MIDC Police Station,1,,16.873221,74.63142,POINT(74.63142 16.873221)
188,Maddur Police Station,1,,12.587151,77.041699,POINT(77.041699 12.587151)
189,Magadi Road Police Station,1,,12.974486,77.55125,POINT(77.55125 12.974486)
190,Mahadevapura Traffic Police,1,,12.996489,77.693564,POINT(77.693564 12.996489)
191,Mahadevpura Police Station,1,,12.996813,77.692838,POINT(77.692838 12.996813)
192,Mahalakshmipuram Police Station,1,,13.002841,77.547416,POINT(77.547416 13.002841)
193,Mahe Police Station,1,,11.704852,75.533519,POINT(75.533519 11.704852)
194,Mahila police station,1,,17.341093,77.890384,POINT(77.890384 17.341093)
195,Maleshwaram Police station,1,,12.996681,77.569671,POINT(77.569671 12.996681)
196,Malharpeth Police station,1,,17.34455,74.00484,POINT(74.00484 17.34455)
197,Mallur Police Station,1,,11.545299,78.142883,POINT(78.142883 11.545299)
198,Malpe Police Station,1,,13.36065,74.703679,POINT(74.703679 13.36065)
199,Malur Police Station,1,,13.002609,77.938556,POINT(77.938556 13.002609)
200,Manipal Police Station,1,,13.349191,74.785973,POINT(74.785973 13.349191)
201,Marathahalli Police Station,1,,12.945549,77.697947,POINT(77.697947 12.945549)
202,Market Police Station,1,,17.670196,75.906737,POINT(75.906737 17.670196)
203,Market Police Station,1,,15.862432,74.51973,POINT(74.51973 15.862432)
204,Mattannur Police Station,1,,11.930993,75.570577,POINT(75.570577 11.930993)
205,Mico Layout Police Station,1,,12.908637,77.610565,POINT(77.610565 12.908637)
206,Mico Layout Police Station,1,,12.908585,77.610698,POINT(77.610698 12.908585)
207,Mico Layout Traffic Police Station,1,,12.913204,77.600983,POINT(77.600983 12.913204)
208,Modi Police Station,1,,17.65904,75.900554,POINT(75.900554 17.65904)
209,Muddebihal Police Station,1,,16.349083,76.128848,POINT(76.128848 16.349083)
210,NIMHANS Police Outpost,1,,12.940615,77.594921,POINT(77.594921 12.940615)
211,Nallappa Thana Police Station,1,,12.308128,76.647248,POINT(76.647248 12.308128)
212,Nandini Layout Police Station,1,,13.012468,77.536829,POINT(77.536829 13.012468)
213,Nani Hills Police Station,1,,13.368885,77.684202,POINT(77.684202 13.368885)
214,Navanagar Police Station,1,,15.392875,75.081499,POINT(75.081499 15.392875)
215,Navi Peth Police Station,1,,17.675573,75.898891,POINT(75.898891 17.675573)
216,Nelamangala Police station,1,,13.099688,77.39108,POINT(77.39108 13.099688)
217,Nelamangala Rural Police station,1,,13.095895,77.403646,POINT(77.403646 13.095895)
218,Nelamangala Traffic Police Station,1,,13.092724,77.391214,POINT(77.391214 13.092724)
219,Office Of The Assistant Commissioner Whitefield Subdivision,1,,12.996475,77.693678,POINT(77.693678 12.996475)
220,Office of Circle Inspector of Police,1,,13.314961,76.940038,POINT(76.940038 13.314961)
221,Office of Circle Inspector of Police,1,,11.831855,75.565972,POINT(75.565972 11.831855)
222,Office of the Assisstant Commisioner of the Police,1,,13.100137,77.583962,POINT(77.583962 13.100137)
223,"Office of the Deputy Superintendent of Police, Kundapura.",1,,13.618363,74.691436,POINT(74.691436 13.618363)
224,Old Police Station,1,,13.313118,77.145152,POINT(77.145152 13.313118)
225,One town Police Station,1,,14.678074,77.608502,POINT(77.608502 14.678074)
226,PALLOOR POLICE STATION,1,,11.732353,75.539992,POINT(75.539992 11.732353)
227,POICE CHOUKI YEDSHI,1,,18.322686,75.963323,POINT(75.963323 18.322686)
228,PSI quarters,1,,12.40777,76.577701,POINT(76.577701 12.40777)
229,Palapatti B 10 Police Station,1,,11.669956,78.139485,POINT(78.139485 11.669956)
230,Palapatti Police Station,1,,11.669908,78.139521,POINT(78.139521 11.669908)
231,Panamaram police station,1,,11.740254,76.071328,POINT(76.071328 11.740254)
232,Panamarathupatti Police Station,1,,11.561495,78.163966,POINT(78.163966 11.561495)
233,Pandeshwara Police Station,1,,12.856087,74.839313,POINT(74.839313 12.856087)
234,Peenya Police Station,1,,13.036011,77.521185,POINT(77.521185 13.036011)
235,Pension Mohalla Police Station,1,,13.0091,76.095484,POINT(76.095484 13.0091)
236,Police Aid Post Kakkayam,1,,11.552328,75.894024,POINT(75.894024 11.552328)
237,"Police Aid Post, Uppala",1,,12.67187,74.910467,POINT(74.910467 12.67187)
238,Police Assistance centre,1,,11.822789,76.089821,POINT(76.089821 11.822789)
239,Police Chowk,1,,17.342053,76.83776,POINT(76.83776 17.342053)
240,Police Circle Inspector Office,1,,13.166597,75.86681,POINT(75.86681 13.166597)
241,Police Commissioner Office,1,,15.870339,74.517193,POINT(74.517193 15.870339)
242,Police Control Room Police Station,1,,11.64257,78.145951,POINT(78.145951 11.64257)
243,Police Headquarter Latur,1,,18.389955,76.623439,POINT(76.623439 18.389955)
244,Police Headquarters,1,,12.969537,77.587762,POINT(77.587762 12.969537)
245,Police Headquarters,1,,12.969559,77.587855,POINT(77.587855 12.969559)
246,Police Help Booth,1,,11.633694,78.149501,POINT(78.149501 11.633694)
247,Police High Frequency Receiving Station,1,,15.762156,78.041989,POINT(78.041989 15.762156)
248,Police Office,1,,15.329426,74.767421,POINT(74.767421 15.329426)
249,Police Parade Ground,1,,16.843464,74.650581,POINT(74.650581 16.843464)
250,Police Quarters,1,,12.407754,76.577493,POINT(76.577493 12.407754)
251,Police Station,1,,12.936343,77.561501,POINT(77.561501 12.936343)
252,Police Station,1,,14.514982,75.806221,POINT(75.806221 14.514982)
253,Police Station,1,,15.935314,77.355997,POINT(77.355997 15.935314)
254,Police Station,1,,12.556425,75.39307,POINT(75.39307 12.556425)
255,Police Station,1,,17.180061,77.284989,POINT(77.284989 17.180061)
256,Police Station,1,,14.164156,77.812105,POINT(77.812105 14.164156)
257,Police Station,1,,15.265817,76.349724,POINT(76.349724 15.265817)
258,Police Station,1,,12.299899,76.678898,POINT(76.678898 12.299899)
259,Police Station,1,,15.264522,74.044373,POINT(74.044373 15.264522)
260,Police Station,1,,14.281877,74.450834,POINT(74.450834 14.281877)
261,Police Station,1,,14.718082,76.746568,POINT(76.746568 14.718082)
262,Police Station,1,,13.308372,77.148291,POINT(77.148291 13.308372)
263,Police Station,1,,14.789093,75.986509,POINT(75.986509 14.789093)
264,Police Station,1,,13.419171,75.253,POINT(75.253 13.419171)
265,Police Station,1,,16.829022,75.714846,POINT(75.714846 16.829022)
266,Police Station,1,,12.306512,78.073656,POINT(78.073656 12.306512)
267,Police Station,1,,16.623267,77.84066,POINT(77.84066 16.623267)
268,Police Station,1,,12.996563,77.642578,POINT(77.642578 12.996563)
269,Police Station,1,,11.817677,76.792439,POINT(76.792439 11.817677)
270,Police Station,1,,13.535236,75.365724,POINT(75.365724 13.535236)
271,Police Station,1,,13.863335,74.813518,POINT(74.813518 13.863335)
272,Police Station,1,,12.40622,76.572466,POINT(76.572466 12.40622)
273,Police Station,1,,17.130291,76.934503,POINT(76.934503 17.130291)
274,Police Station,1,,13.959276,76.61098,POINT(76.61098 13.959276)
275,Police Station,1,,13.199223,77.705658,POINT(77.705658 13.199223)
276,Police Station,1,,17.910074,77.514271,POINT(77.514271 17.910074)
277,Police Station,1,,15.3295,74.767107,POINT(74.767107 15.3295)
278,Police Station,1,,11.660456,76.162236,POINT(76.162236 11.660456)
279,"Police Station , noolpuzha",1,,11.605193,76.32455,POINT(76.32455 11.605193)
280,"Police Station ,Ambalavayal",1,,11.618407,76.210791,POINT(76.210791 11.618407)
281,"Police Station ,Bedakam",1,,12.468263,75.184,POINT(75.184 12.468263)
282,"Police Station ,Edacheri",1,,11.658558,75.611562,POINT(75.611562 11.658558)
283,"Police Station ,Kambalakkad",1,,11.688191,76.079424,POINT(76.079424 11.688191)
284,"Police Station ,Meenangadi",1,,11.660401,76.162213,POINT(76.162213 11.660401)
285,"Police Station ,Meppadi",1,,11.557757,76.131094,POINT(76.131094 11.557757)
286,"Police Station ,Nadapuram",1,,11.687107,75.652302,POINT(75.652302 11.687107)
287,"Police Station ,Nileshwar",1,,12.249252,75.131134,POINT(75.131134 12.249252)
288,"Police Station ,Padinjarathara",1,,11.691598,75.976335,POINT(75.976335 11.691598)
289,"Police Station ,Panamaram",1,,11.739073,76.073406,POINT(76.073406 11.739073)
290,"Police Station ,Rajapuram",1,,12.421092,75.247415,POINT(75.247415 12.421092)
291,"Police Station ,Thaliparamba",1,,12.037416,75.36305,POINT(75.36305 12.037416)
292,"Police Station ,Thirunelli",1,,11.900618,76.007645,POINT(76.007645 11.900618)
293,"Police Station ,Thondernadu",1,,11.743498,75.876554,POINT(75.876554 11.743498)
294,Police Station Chombala,1,,11.678378,75.552622,POINT(75.552622 11.678378)
295,Police Station Edakkad,1,,11.803185,75.446131,POINT(75.446131 11.803185)
296,Police Station Gopalpet,1,,16.389259,78.141611,POINT(78.141611 16.389259)
297,Police Station Latur Ghramine,1,,18.398335,76.60229,POINT(76.60229 18.398335)
298,Police Station Nawabpet,1,,17.428878,77.967395,POINT(77.967395 17.428878)
299,"Police Station, Alakode",1,,12.199692,75.46315,POINT(75.46315 12.199692)
300,"Police Station, Aralam",1,,11.971765,75.781946,POINT(75.781946 11.971765)
301,"Police Station, Chakkarakkal",1,,11.890339,75.45729,POINT(75.45729 11.890339)
302,"Police Station, Cherupuzha",1,,12.270923,75.360875,POINT(75.360875 12.270923)
303,"Police Station, Chokli",1,,11.722528,75.563469,POINT(75.563469 11.722528)
304,"Police Station, Chombala",1,,11.677851,75.552411,POINT(75.552411 11.677851)
305,"Police Station, Dharmadam",1,,11.774705,75.466106,POINT(75.466106 11.774705)
306,"Police Station, Edakkad",1,,11.803249,75.446186,POINT(75.446186 11.803249)
307,"Police Station, Hosdurg",1,,12.312718,75.091012,POINT(75.091012 12.312718)
308,"Police Station, Irikkur",1,,11.983548,75.553766,POINT(75.553766 11.983548)
309,"Police Station, Iritty",1,,11.992693,75.68139,POINT(75.68139 11.992693)
310,"Police Station, Kadirur",1,,11.781639,75.534667,POINT(75.534667 11.781639)
311,"Police Station, Kalpetta",1,,11.602998,76.084502,POINT(76.084502 11.602998)
312,"Police Station, Kannavam",1,,11.84428,75.659482,POINT(75.659482 11.84428)
313,"Police Station, Kannur Interantional Airport",1,,11.9148,75.551057,POINT(75.551057 11.9148)
314,"Police Station, Kannur Town",1,,11.873891,75.370978,POINT(75.370978 11.873891)
315,"Police Station, Karikkottakari",1,,12.000721,75.753775,POINT(75.753775 12.000721)
316,"Police Station, Kasaragod",1,,12.504429,74.986834,POINT(74.986834 12.504429)
317,"Police Station, Kelakam",1,,11.895397,75.808431,POINT(75.808431 11.895397)
318,"Police Station, Kenichira",1,,11.724118,76.143617,POINT(76.143617 11.724118)
319,"Police Station, Kolavaloor",1,,11.766205,75.625108,POINT(75.625108 11.766205)
320,"Police Station, Koorachundu",1,,11.541365,75.846729,POINT(75.846729 11.541365)
321,"Police Station, Kudiyanmala",1,,12.142635,75.550944,POINT(75.550944 12.142635)
322,"Police Station, Kuthuparamba",1,,11.831976,75.566155,POINT(75.566155 11.831976)
323,"Police Station, Malur",1,,11.890936,75.647175,POINT(75.647175 11.890936)
324,"Police Station, Manjeshwar",1,,12.715185,74.89113,POINT(74.89113 12.715185)
325,"Police Station, Marrakarkandy, Kannur City",1,,11.85831,75.393293,POINT(75.393293 11.85831)
326,"Police Station, Mattannur",1,,11.931178,75.570315,POINT(75.570315 11.931178)
327,"Police Station, Mayyil",1,,11.995128,75.448665,POINT(75.448665 11.995128)
328,"Police Station, Melparamba",1,,12.484674,75.057273,POINT(75.057273 12.484674)
329,"Police Station, Meppadi",1,,11.55317,76.130634,POINT(76.130634 11.55317)
330,"Police Station, Meppayur",1,,11.530642,75.709774,POINT(75.709774 11.530642)
331,"Police Station, Muzhakkunnu",1,,11.936909,75.707328,POINT(75.707328 11.936909)
332,"Police Station, Panoor",1,,11.759491,75.583212,POINT(75.583212 11.759491)
333,"Police Station, Pariyaram",1,,12.06923,75.295895,POINT(75.295895 12.06923)
334,"Police Station, Payangadi",1,,12.031051,75.265665,POINT(75.265665 12.031051)
335,"Police Station, Payyanur",1,,12.110171,75.210594,POINT(75.210594 12.110171)
336,"Police Station, Payyavoor",1,,12.043585,75.582836,POINT(75.582836 12.043585)
337,"Police Station, Peravoor",1,,11.899708,75.730573,POINT(75.730573 11.899708)
338,"Police Station, Peringome",1,,12.22388,75.313897,POINT(75.313897 12.22388)
339,"Police Station, Shirur Anatpal",1,,18.341856,76.841606,POINT(76.841606 18.341856)
340,"Police Station, Sreekandapuram",1,,12.046043,75.506019,POINT(75.506019 12.046043)
